doc_id,title,authors,year,source_type,venue_or_publisher,doc_category,topic_tag,doi_or_url,retrieved_date,inclusion_status,exclusion_reason,filename
DOC100,"How to comply with REACH Restriction 71, 76, 80 and 81; guideline for users of the aprotic solvents NMP, DMF, DMAC, and NEP",European Chemicals Agency (ECHA),2026,intergovernmental,European Chemicals Agency (ECHA),policy,policy,https://echa.europa.eu,18/06/2026,exclude,"Subject is aprotic solvents (NMP/DMF/DMAC/NEP), not microplastics. Scope mismatch.",DOC100.pdf
DOC101,UNEP Frontiers 2025 - The Weight of Time,UNEP (multiple chapter authors),2025,intergovernmental,United Nations Environment Programme (UNEP),policy,policy,https://doi.org/10.59117/20.500.11822/48122,18/06/2026,exclude,"Emerging-issues report; does not concern microplastics (plastic on 4/108 pages, none atmospheric). Relevance fail.",DOC101.pdf
DOC102,A composite control strategy for an integrated air-water power system under abrupt load variation during the water-entry process,Liu Z.; Dang J.; Luo K.; Wang J.; Li D.; Huang C.; Liu S.; Shi Y.; Qin K.,2026,peer_reviewed,Defence Technology (Elsevier),science,sources,10.1016/j.dt.2026.03.014,03/07/2026,exclude,Off-topic engineering paper (air-water power / vehicle water-entry control). Not about microplastics. Scope mismatch.,DOC102.pdf
DOC090,Airborne microplastic concentrations and deposition across the Weser River catchment,Kernchen S.; Löder M.G.J.; Fischer F.; Fischer D.; Moses S.R.; Georgi C.; Nölscher A.C.; Held A.; Laforsch C.,2022,peer_reviewed,Science of the Total Environment,science,sources,10.1016/j.scitotenv.2021.151812,04/08/2026,include,,DOC090.pdf
DOC091,Atmospheric microplastic transport and deposition to urban and pristine tropical locations in Southeast Asia,Hee Y.Y.; Hanif N.M.; Weston K.; et al.,2023,peer_reviewed,Science of the Total Environment,science,transport,10.1016/j.scitotenv.2023.166153,04/08/2026,include,,DOC091.pdf
DOC092,Presence of airborne microplastics in human lung tissue,Amato-Lourenço L.F.; Carvalho-Oliveira R.; Ribeiro Júnior G.; Galvão L.S.; Ando R.A.; Mauad T.,2021,peer_reviewed,Journal of Hazardous Materials,science,health,10.1016/j.jhazmat.2021.126124,04/08/2026,include,,DOC092.pdf
DOC093,Challenges of using leaves as a biomonitoring system to assess airborne microplastic deposition on urban tree canopies,Leonard J.; Borthakur A.; Koutnik V.S.; Brar J.; Glasman J.; Cowger W.; Dittrich T.M.; Mohanty S.K.,2023,peer_reviewed,Atmospheric Pollution Research,science,ecological,10.1016/j.apr.2023.101651,04/08/2026,include,,DOC093.pdf
DOC094,Airborne Microplastic in the Atmospheric Deposition and How to Identify and Quantify the Threat: Semi-Quantitative Approach Based on Krakow Case Study,Jarosz K.; Janus R.; Wądrzyk M.; Wilczyńska-Michalik W.; Natkański P.; Michalik M.,2022,peer_reviewed,International Journal of Environmental Research and Public Health,science,methods,10.3390/ijerph191912252,04/08/2026,include,,DOC094.pdf
DOC095,Atmospheric microplastics: A review on current status and perspectives,Zhang Y.; Kang S.; Allen S.; Allen D.; Gao T.; Sillanpää M.,2020,peer_reviewed,Earth-Science Reviews,science,review,10.1016/j.earscirev.2020.103118,04/08/2026,include,,DOC095.pdf
DOC096,Detection of Microplastics in Ambient Particulate Matter Using Raman Spectral Imaging and Chemometric Analysis (Supporting Information),Levermore J.M.; Smith T.E.L.; Kelly F.J.; Wright S.L.,2020,peer_reviewed,Analytical Chemistry (ACS),science,methods,10.1021/acs.analchem.9b05445,04/08/2026,include,,DOC096.pdf
DOC103,"Microplastic Shape, Polymer Type, and Concentration Affect Soil Properties and Plant Biomass",Lozano Y.M.; Lehnert T.; Linck L.T.; Lehmann A.; Rillig M.C.,2021,peer_reviewed,Frontiers in Plant Science,science,ecological,10.3389/fpls.2021.616645,04/08/2026,include,,DOC103.pdf
DOC104,Microplastic effects on carbon cycling processes in soils,Rillig M.C.; Leifheit E.; Lehmann J.,2021,peer_reviewed,PLoS Biology,science,ecological,10.1371/journal.pbio.3001130,04/08/2026,include,,DOC104.pdf
DOC105,What is known and unknown about the effects of plastic pollution: A meta-analysis and systematic review,Bucci K.; Tulio M.; Rochman C.M.,2020,peer_reviewed,Ecological Applications,science,ecological,10.1002/eap.2044,04/08/2026,include,,DOC105.pdf
DOC106,"WHO global air quality guidelines: Particulate matter (PM2.5 and PM10), ozone, nitrogen dioxide, sulfur dioxide and carbon monoxide",World Health Organization (WHO),2021,intergovernmental,World Health Organization (ISBN 9789240034228),policy,policy,https://www.who.int/publications/i/item/9789240034228,04/08/2026,include,,DOC106.pdf
DOC107,National Strategy to Prevent Plastic Pollution (Part Three of a Series on Building a Circular Economy for All),US Environmental Protection Agency (EPA),2024,government,US EPA (EPA 530-R-24-006),policy,policy,https://www.epa.gov/circulareconomy/national-strategy-prevent-plastic-pollution,04/08/2026,include,,DOC107.pdf
DOC108,Policy Scenarios for Eliminating Plastic Pollution by 2040,OECD,2022,intergovernmental,OECD Publishing,policy,policy,10.1787/76400890-en,04/08/2026,include,,DOC108.pdf
DOC109,"Chemical Analysis of Microplastics and Nanoplastics: Challenges, Advanced Methods, and Perspectives",Ivleva N.P.,2021,peer_reviewed,Chemical Reviews,science,methods,10.1021/acs.chemrev.1c00178,04/08/2026,include,,DOC109.pdf
DOC110,The global threat from plastic pollution,MacLeod M.; Arp H.P.H.; Tekman M.B.; Jahnke A.,2021,peer_reviewed,Science,science,ecological,10.1126/science.abg5433,04/08/2026,include,,DOC110.pdf
DOC111,Atmospheric deposition of microplastics: a sampling and analytical method including the associated measurement uncertainties,Ashta N.M.; Crosset-Perrotin G.; Moraz A.; Stoffel J.; Schilt U.; Ceglie E.; Schoenenberger D.; Philipp M.; Bucheli T.D.; Kaegi R.; Hueglin C.,2026,peer_reviewed,Atmospheric Measurement Techniques,science,methods,10.5194/amt-19-371-2026,06/08/2026,include,,DOC111.pdf
DOC112,"Microplastics in indoor air from Birmingham, UK: Implications for inhalation exposure",Ageel H.K.; Harrad S.; Abdallah M.A.-E.,2024,peer_reviewed,Environmental Pollution,science,health,10.1016/j.envpol.2024.124960,06/08/2026,include,,DOC112.pdf
DOC113,Household indoor microplastics within the Humber region (United Kingdom): Quantification and chemical characterisation of particles present,Jenner L.C.; Sadofsky L.R.; Danopoulos E.; Rotchell J.M.,2021,peer_reviewed,Atmospheric Environment,science,sources,10.1016/j.atmosenv.2021.118512,06/08/2026,include,,DOC113.pdf
